link_id,check_time,success
1,2024-08-26 16:41:55.461415,0
2,2024-08-26 16:41:58.271456,1
7,2024-08-26 16:42:26.144130,0
8,2024-08-26 16:42:50.631223,1
9,2024-08-26 16:42:54.272193,1
10,2024-08-26 16:42:58.004531,1
41,2024-08-26 16:43:32.945071,0
42,2024-08-26 16:44:41.598846,0
43,2024-08-26 16:45:06.616912,0
44,2024-08-26 16:45:10.159919,1
159,2024-08-26 16:46:00.052815,1
